issue	severity	kind	type	reach	readiness	age	settled	pr
1603	0		2	3	1	0	0	
1606	0		2	2	0	0	0	
1608	0		0	2	0	0	-3	
1610	0		2	1	3	0	0	
1613	0		0	1	2	0	0	
1626	0		0	2	1	0	0	
1627	0		2	1	1	0	0	
1630	0		0	2	0	0	0	
1635	0		2	1	0	0	0	
1638	0		2	2	1	0	0	
1643	0		0	1	0	0	0	
1649	0		1	2	0	0	0	
1660	0		2	3	3	0	0	
1689	0		1	2	1	0	0	
1701	0		1	3	2	0	0	
1705	0		0	2	3	0	0	
1707	0		2	1	0	0	0	4166
1708	0		1	2	2	0	0	
1721	0		0	2	3	0	0	
1733	0		1	2	0	0	0	
1749	0		0	3	0	0	0	
1751	0		2	2	0	0	-3	
1754	0		0	2	1	0	0	
1783	0		1	1	0	1	-3	
1831	0		1	1	0	1	0	
1834	2	leak	2	1	0	1	0	
1842	0		1	2	2	1	0	
1850	0		1	2	0	1	0	
1854	0		2	2	2	1	0	
1858	0		2	2	0	1	0	
1859	0		0	1	0	1	0	
1860	0		0	2	0	1	0	
1865	3	crash	2	2	2	1	0	
1880	0		2	1	3	1	0	
1881	0		0	2	2	1	0	2109
1885	0		0	2	2	1	0	
1890	0		1	2	2	1	0	
1892	0		1	2	0	1	0	
1894	0		2	1	3	1	0	
1898	0		1	1	1	1	0	
1899	0		0	3	2	1	0	
1903	3	crash	2	2	1	1	0	
1917	0		2	2	2	1	0	
1919	0		1	3	2	1	0	
1924	0		1	1	2	1	0	
1925	0		2	3	3	1	0	
1928	0		0	2	2	1	0	3431
1947	0		1	1	0	1	0	
1950	0		1	1	2	1	0	
1955	0		1	1	0	1	0	
1958	0		2	2	3	1	0	
1968	0		2	1	2	1	0	
1974	0		0	2	3	1	0	
1975	0		0	2	2	1	-2	
1978	0		0	2	1	1	0	
1979	0		0	2	2	1	0	
1980	0		1	3	3	1	0	
1984	0		2	2	2	1	0	4361
1985	3	hang	2	3	1	1	0	
1986	0		1	1	0	1	0	
1991	0		1	1	2	1	0	
1993	0		0	2	0	1	0	
1998	0		2	3	1	1	0	
2004	4	wrong-answer	2	3	1	1	0	
2008	0		1	2	2	1	0	
2010	0		1	1	0	1	0	
2025	0		2	2	1	1	0	
2029	0		0	2	2	1	0	
2032	0		2	1	0	1	-3	
2067	4	wrong-answer	2	2	0	1	0	
2103	0		0	2	1	1	0	
2133	0		0	2	3	1	0	
2143	0		2	3	3	1	0	
2146	3	crash	0	2	3	1	-2	
2154	0		2	2	0	1	0	
2159	0		2	3	1	1	0	
2162	4	wrong-answer	2	2	0	1	0	
2175	0		2	3	1	1	0	
2183	3	crash	2	1	2	1	0	
2184	0		1	2	0	1	0	
2217	0		1	1	3	1	0	
2218	0		2	1	0	1	0	
2222	0		0	3	2	1	0	
2230	3	crash	2	2	0	1	0	
2232	0		2	3	3	1	0	
2233	0		1	2	0	1	-2	
2237	0		1	3	1	1	0	
2238	0		0	1	3	1	0	
2239	0		1	3	1	1	0	
2240	0		0	2	0	1	0	
2247	0		1	2	0	1	0	
2260	0		0	3	0	1	0	
2261	0		2	3	1	1	0	
2262	0		2	1	0	1	0	
2264	3	crash	2	2	1	1	0	
2267	3	hang	1	2	2	1	0	
2269	0		2	3	0	1	0	
2275	0		1	2	0	1	0	
2284	4	wrong-answer	2	2	2	1	0	
2288	0		0	2	2	1	0	
2297	3	crash	2	1	0	1	0	
2303	0		2	3	1	1	0	
2304	0		0	3	1	1	0	
2319	0		2	1	0	1	0	
2326	0		0	2	1	1	0	
2327	0		2	3	1	1	0	
2334	0		2	1	0	1	0	
2338	0		2	3	1	1	0	
2340	0		2	3	1	1	0	
2342	0		0	2	1	1	0	
2349	0		2	2	2	1	0	
2350	0		0	2	0	1	0	
2351	0		2	1	3	1	0	
